#FactTable
ID,D1,D2,Fact1,Fact2
1280,B,Y,18,171
1281,B,Z,22,709
1282,B,X,39,887
1283,C,Y,81,755
1284,A,Y,57,844
1285,A,Y,83,344
1286,B,Z,45,152
1287,C,X,38,580
1288,C,X,89,821
1289,B,X,45,211
1290,B,Z,74,371
1291,B,Z,48,52
1292,B,Y,86,976
1293,C,X,84,200
1294,A,Y,63,325
1295,C,Z,65,466
1296,A,Z,47,928
1297,A,Y,77,986
1298,A,Z,28,42
1299,C,Z,50,858
1300,B,Z,73,807
1301,B,X,77,588
1302,C,Y,13,444
1303,C,Y,23,880
1304,A,Z,98,468
1305,C,Z,77,752
1306,A,X,63,594
1307,C,Z,7,663
1308,B,X,86,393
1309,B,X,13,962
1310,B,Y,86,623
1311,C,Y,46,10
1312,A,Z,13,54
1313,B,Y,46,836
1314,A,Y,47,166
1315,B,X,81,858
1316,A,X,30,733
1317,C,Z,30,602
1318,C,X,2,623
1319,A,Y,60,320
1320,C,Y,99,366
1321,A,Y,29,768
1322,C,X,55,859
1323,C,Z,38,214
1324,A,Y,19,672
1325,B,Y,93,275
1326,B,Y,47,358
1327,B,X,81,490
1328,A,Y,10,870
1329,B,Y,26,808
1330,C,X,98,971
1331,B,Z,25,663
1332,C,Y,88,326
1333,B,Y,66,837
1334,B,Y,73,98
1335,A,Z,85,506
1336,C,Y,95,745
1337,C,Z,62,491
1338,C,Z,28,350
1339,B,X,28,301
1340,B,Z,44,183
1341,A,Y,77,149
1342,A,X,98,966
1343,A,X,50,123
1344,B,Z,74,112
1345,A,X,27,656
1346,C,Y,46,881
1347,A,Y,7,805
1348,B,Z,79,30
1349,A,Z,88,246
1350,C,Y,74,719
1351,C,X,3,240
1352,C,Y,53,690
1353,B,Z,39,170
1354,C,Y,47,117
1355,A,Z,84,609
1356,A,X,63,753
1357,C,Y,62,731
1358,B,Z,29,871
1359,C,X,83,631
1360,A,Y,53,380
1361,A,Y,85,705
1362,C,Y,3,666
1363,B,X,65,27
1364,A,Z,91,16
1365,B,Z,93,647
1366,C,Z,30,293
1367,A,X,63,238
1368,A,Z,41,16
1369,A,Z,62,264
1370,A,Y,67,805
1371,A,Y,58,200
1372,A,X,12,94
1373,C,X,27,761
1374,A,Y,45,610
1375,A,Z,65,583
1376,C,X,31,535
1377,A,Z,17,26
1378,A,Y,54,100
1379,C,X,22,551
1380,A,Z,73,586
1381,A,Z,57,458
1382,C,Y,12,321
1383,A,Z,25,545
1384,C,Z,48,110
1385,A,Y,52,173
1386,A,Y,82,678
1387,C,Z,37,93
1388,B,Z,57,331
1389,C,Y,13,23
1390,B,Y,17,201
1391,B,Y,21,838
1392,A,Y,79,466
1393,C,Y,32,788
1394,B,X,39,57
1395,B,X,99,412
1396,B,Y,86,563
1397,B,Z,83,125
1398,C,X,51,981
1399,A,Z,34,335
1400,A,Y,47,727
1401,B,Z,65,983
1402,A,Z,16,910
1403,B,Z,94,135
1404,A,Z,53,639
1405,A,X,89,224
1406,C,X,59,416
1407,B,Y,17,265
1408,C,Z,1,203
1409,A,Y,25,401
1410,B,Y,87,198
1411,B,Z,90,977
1412,B,Y,42,379
1413,B,Z,72,457
1414,B,Y,2,843
1415,B,X,17,834
1416,A,X,79,647
1417,B,Z,24,653
1418,A,Z,13,577
1419,C,Z,54,325
1420,A,Y,19,448
1421,C,Y,83,186
1422,B,Z,37,958
1423,A,Y,85,320
1424,A,Y,68,166
1425,A,Y,54,259
1426,C,X,56,507
1427,B,Y,18,428
1428,A,X,87,480
1429,C,Y,83,390
1430,A,Z,36,58
1431,A,X,35,403
1432,A,Z,5,648
1433,A,X,95,234
1434,C,X,43,99
1435,B,Y,54,308
1436,B,Z,98,206
1437,A,Y,16,190
1438,C,Z,28,55
1439,B,Y,70,20
1440,B,X,88,740
1441,A,Y,84,788
1442,A,Y,14,467
1443,C,Z,58,762
1444,B,X,21,880
1445,A,Z,27,757
1446,C,X,96,992
1447,C,X,16,635
1448,C,X,82,528
1449,B,X,39,982
1450,B,Y,83,818
1451,B,Z,39,660
1452,C,Z,17,508
1453,C,Y,90,703
1454,A,Y,43,533
1455,A,X,14,127
1456,B,Y,48,804
1457,B,Y,12,690
1458,A,X,44,907
1459,B,Z,19,878
1460,A,X,18,680
1461,A,Y,95,13
1462,A,Y,90,398
1463,C,Z,6,917
1464,B,X,53,246
1465,C,Z,89,191
1466,B,Y,54,572
1467,C,Z,37,179
1468,B,Z,4,447
1469,B,X,3,838
1470,A,Y,93,853
1471,C,Z,2,828
1472,C,X,20,862
1473,B,Z,30,942
1474,C,Y,42,455
1475,B,Y,51,187
1476,B,X,95,858
1477,A,X,45,421
1478,B,Z,65,686
1479,C,Y,96,452
1480,A,Z,63,278
1481,B,Y,86,839
1482,A,X,92,839
1483,A,Z,85,861
1484,B,Z,68,554
1485,C,X,1,935
1486,B,Z,95,905
1487,B,Z,48,725
1488,B,Y,23,785
1489,B,Y,73,500
1490,B,Z,74,641
1491,C,Y,93,750
1492,A,Z,8,296
1493,C,Z,99,620
1494,B,Z,45,454
1495,A,Z,78,727
1496,A,Y,91,463
1497,A,Y,59,679
1498,C,Y,17,397
1499,C,Y,61,238
1500,C,X,6,622
1501,B,Y,47,720
1502,C,Y,71,317
1503,C,Y,43,944
1504,C,Z,45,87
1505,A,Y,78,260
1506,A,X,90,567
1507,B,Z,23,64
1508,A,Y,60,915
1509,B,Y,77,554
1510,A,Z,56,524
1511,B,X,25,501
1512,B,Y,5,11
1513,A,X,17,146
1514,A,Y,61,975
1515,C,X,72,698
1516,C,Y,37,870
1517,B,X,91,212
1518,B,X,90,989
1519,B,X,62,89
1520,A,Z,26,827
1521,A,Z,96,214
1522,C,X,91,771
1523,A,Y,1,813
1524,B,Y,49,392
1525,C,Z,39,747
1526,A,Y,96,761
1527,B,Y,11,326
1528,A,X,39,762
1529,A,Y,3,872
1530,A,X,18,841
1531,B,X,5,184
1532,B,X,60,686
1533,A,X,53,355
1534,B,Y,98,653
1535,A,X,4,799
1536,C,Y,54,323
1537,B,Y,83,243
1538,A,Y,76,211
1539,A,X,4,274
1540,A,Z,8,508
1541,C,X,99,953
1542,B,Y,76,200
1543,A,X,47,932
1544,A,Y,63,397
1545,A,Z,35,555
1546,B,X,49,191
1547,C,Z,51,405
1548,C,Z,57,642
1549,A,Z,52,520
1550,A,X,21,767
1551,B,Y,14,439
1552,A,Z,77,720
1553,C,X,48,926
1554,B,Y,28,254
1555,B,Z,9,453
1556,A,Z,90,141
1557,C,Y,53,840
1558,B,Y,78,72
1559,B,Z,2,820
1560,A,Y,32,499
1561,C,Z,15,619
1562,C,X,33,909
1563,B,Z,54,709
1564,C,Y,38,779
1565,A,Z,91,448
1566,A,Z,25,127
1567,B,Y,85,252
1568,B,X,56,120
1569,C,X,18,316
1570,A,Z,59,736
1571,C,Y,91,526
1572,C,Z,77,89
1573,B,X,46,472
1574,A,Y,2,124
1575,A,Z,3,301
1576,C,X,84,523
1577,A,Z,27,214
1578,A,Z,60,747
1579,C,Z,38,890
1580,B,X,72,243
1581,B,Z,23,903
1582,B,Y,69,981
1583,C,X,91,557
1584,A,Z,43,261
1585,C,Z,14,352
1586,C,X,69,864
1587,B,X,87,872
1588,A,Z,53,989
1589,B,Z,37,17
1590,A,Z,76,578
1591,A,X,12,748
1592,B,Z,73,993
1593,B,X,47,195
1594,C,X,44,120
1595,A,X,52,158
1596,A,Z,93,331
1597,A,Y,95,153
1598,A,X,88,777
1599,A,Y,15,816
1600,C,Z,64,95
1601,A,Y,32,794
1602,C,X,63,522
1603,B,X,87,329
1604,C,Z,18,765
1605,C,Z,80,760
1606,C,Y,51,196
1607,B,Y,37,171
1608,A,Y,78,486
1609,C,X,66,270
1610,B,Y,9,32
1611,C,X,62,47
1612,C,Z,14,662
1613,B,Z,81,385
1614,C,Y,18,638
1615,C,X,78,964
1616,A,Y,59,764
1617,B,Z,19,827
1618,C,Z,30,839
1619,B,X,39,461
1620,B,Z,15,857
1621,A,X,48,383
1622,A,X,53,310
1623,A,Z,40,16
1624,C,X,10,901
1625,C,Z,64,441
1626,C,Z,8,394
1627,C,X,82,542
1628,C,X,63,30
1629,C,Y,98,539
1630,B,Z,29,5
1631,B,X,70,156
1632,A,X,97,542
1633,C,Z,80,401
1634,B,Z,54,113
1635,A,Y,2,271
1636,A,Y,22,901
1637,A,Z,41,586
1638,A,Y,5,463
1639,B,Y,86,268
1640,B,Z,45,24
1641,B,Z,92,755
1642,A,X,93,247
1643,A,Z,97,89
1644,C,Y,36,150
1645,C,Z,15,618
1646,A,X,81,194
1647,B,Z,52,33
1648,A,Z,43,717
1649,C,Y,42,513
1650,C,X,74,480
1651,B,Y,16,37
1652,A,X,85,668
1653,C,Y,28,517
1654,B,Y,55,573
1655,C,Y,49,951
1656,B,X,26,112
1657,C,Y,81,295
1658,C,X,65,435
1659,A,Y,1,419
1660,B,X,78,324
1661,B,X,7,596
1662,C,Y,57,359
1663,A,Z,25,997
1664,C,X,33,566
1665,C,Z,1,446
1666,C,Y,41,882
1667,B,Y,57,380
1668,A,X,39,468
1669,C,X,58,773
1670,C,Y,78,858
1671,C,X,4,342
1672,B,X,39,996
1673,C,Z,74,933
1674,B,X,61,478
1675,B,Z,13,275
1676,B,Z,77,258
1677,B,X,35,956
1678,B,Y,79,155
1679,A,X,78,629
1680,B,Z,6,286
1681,B,X,65,665
1682,C,Z,15,55
1683,A,X,26,451
1684,A,X,91,50
1685,C,Z,52,220
1686,B,Y,61,691
1687,A,Y,14,889
1688,B,X,23,878
1689,C,Z,79,94
1690,A,X,81,123
1691,B,Z,15,332
1692,A,Z,18,567
1693,A,X,82,513
1694,B,X,5,713
1695,B,X,53,220
1696,A,Z,17,265
1697,C,Z,62,679
1698,A,Y,35,747
1699,C,X,99,693
1700,A,Y,4,337
1701,B,Z,78,654
1702,C,Z,9,697
1703,C,Z,60,676
1704,A,X,65,156
1705,A,Z,28,24
1706,C,Z,92,944
1707,B,X,74,886
1708,C,Z,66,912
1709,C,X,43,179
1710,B,X,36,889
1711,B,X,36,318
1712,A,X,25,649
1713,A,X,23,722
1714,A,X,26,465
1715,B,Z,69,921
1716,C,Z,14,245
1717,B,X,78,568
1718,A,X,87,271
1719,C,Z,43,337
1720,A,Y,23,841
1721,C,X,41,762
1722,B,Y,36,572
1723,A,X,13,88
1724,B,Y,17,918
1725,B,X,88,203
1726,B,Z,61,930
1727,C,Z,68,825
1728,B,Z,75,993
1729,B,Y,40,550
1730,C,Z,11,743
1731,B,Z,18,111
1732,B,Z,88,976
1733,B,Z,24,434
1734,C,Z,59,618
1735,C,X,95,205
1736,A,X,24,179
1737,B,Z,92,594
1738,C,X,11,460
1739,B,Z,21,805
1740,C,Z,10,825
1741,C,Y,6,155
1742,C,X,95,731
1743,A,X,94,636
1744,B,Y,92,614
1745,C,Y,19,938
1746,B,Z,72,535
1747,C,Z,79,455
1748,B,Z,1,661
1749,B,Z,1,827
1750,C,Z,11,396
1751,B,Y,17,809
1752,A,Z,84,194
1753,A,Y,49,63
1754,B,Y,79,282
1755,B,Y,49,457
1756,C,Z,43,197
1757,C,Y,3,636
1758,B,X,48,128
1759,B,Z,1,620
1760,B,Y,6,571
1761,B,X,51,390
1762,A,Z,86,835
1763,B,Y,89,693
1764,C,X,46,728
1765,A,Z,64,205
1766,B,Z,45,443
1767,C,X,42,341
1768,A,X,38,697
1769,B,X,10,126
1770,B,Z,94,62
1771,B,Z,94,895
1772,B,Z,81,297
1773,A,Y,91,238
1774,C,Z,68,191
1775,B,X,59,972
1776,A,Z,24,920
1777,A,Y,6,897
1778,C,X,44,874
1779,A,X,93,756
1780,A,Y,76,347
1781,C,Y,51,730
1782,A,Y,28,165
1783,A,Z,24,431
1784,C,Y,71,314
1785,A,Y,93,542
1786,C,Z,9,234
1787,B,Y,77,534
1788,B,Z,23,651
1789,B,X,85,504
1790,B,X,38,885
1791,A,X,96,977
1792,B,Z,98,753
1793,C,X,6,474
1794,C,Z,32,770
1795,C,Y,98,115
1796,C,Z,9,366
1797,B,Y,60,308
1798,C,X,33,171
1799,B,Y,55,650
1800,C,Y,63,71
1801,C,Y,66,182
1802,B,Z,59,71
1803,B,Z,19,268
1804,A,X,94,578
1805,A,Y,94,200
1806,A,Z,91,341
1807,C,X,70,106
1808,C,Z,70,740
1809,C,Z,34,808
1810,A,X,57,495
1811,A,X,39,643
1812,A,Z,1,548
1813,C,Y,21,130
1814,B,X,44,652
1815,A,X,98,913
1816,B,X,15,250
1817,C,X,40,991
1818,A,Z,55,944
1819,C,Z,67,401
1820,B,Z,28,979
1821,C,X,9,748
1822,C,Z,38,486
1823,A,Y,20,332
1824,B,Y,67,316
1825,A,Z,8,730
1826,C,Z,36,537
1827,C,Z,51,447
1828,B,X,15,234
1829,C,Y,34,108
1830,A,X,72,282
1831,B,X,56,219
1832,C,Y,52,146
1833,A,Z,17,42
1834,A,Y,25,343
1835,B,Z,31,911
1836,C,Y,45,325
1837,A,Z,8,532
1838,B,Z,48,716
1839,A,X,84,608
1840,C,Z,16,372
1841,A,Z,92,757
1842,C,Y,75,134
1843,A,Z,82,358
1844,C,Z,96,758
1845,A,Z,61,817
1846,A,Z,33,452
1847,B,Z,54,610
1848,C,Z,93,498
1849,A,X,6,623
1850,B,X,91,761
1851,A,Y,34,498
1852,B,X,52,31
1853,A,Y,38,387
1854,B,Y,75,871
1855,C,Z,56,312
1856,A,Y,7,439
1857,C,Z,96,56
1858,C,Y,30,25
1859,B,X,88,504
1860,C,Z,46,15
1861,B,X,21,770
1862,B,Z,79,951
1863,B,Z,67,181
1864,B,Z,7,661
1865,B,X,21,662
1866,A,X,24,328
1867,A,Z,17,407
1868,C,Y,85,90
1869,A,Y,22,901
1870,B,Y,46,508
1871,B,Z,17,337
1872,A,Z,62,502
1873,C,Z,3,40
1874,C,Z,36,535
1875,A,X,39,301
1876,B,X,72,617
1877,B,X,98,617
1878,C,Z,86,681
1879,A,Y,50,578
1880,B,X,75,969
1881,C,Z,60,116
1882,C,Z,70,43
1883,A,Z,22,246
1884,C,X,69,649
1885,B,Z,40,440
1886,C,X,54,456
1887,C,Y,78,320
1888,C,Z,81,541
1889,A,X,93,617
1890,B,Y,43,359
1891,C,Z,14,517
1892,A,X,14,341
1893,C,Z,24,612
1894,B,Z,69,439
1895,C,Z,56,492
1896,A,Y,64,629
1897,C,Z,18,251
1898,C,Y,95,840
1899,C,X,76,938
1900,A,Z,18,206
1901,C,Y,9,958
1902,C,X,58,569
1903,A,X,64,660
1904,A,Y,17,33
1905,B,X,42,74
1906,A,Z,49,95
1907,C,Z,27,632
1908,C,X,99,934
1909,A,X,60,109
1910,B,Z,65,384
1911,A,X,46,846
1912,B,Y,9,239
1913,A,X,36,351
1914,B,X,14,834
1915,B,X,85,589
1916,C,Z,98,133
1917,B,Z,82,90
1918,C,X,59,363
1919,A,Z,71,28
1920,A,X,18,10
1921,A,Z,94,73
1922,A,Z,35,446
1923,A,Y,32,356
1924,C,Y,85,409
1925,A,X,88,482
1926,B,X,89,522
1927,C,X,76,384
1928,B,X,42,114
1929,C,Z,83,581
1930,B,Z,74,786
1931,C,Z,74,491
1932,A,X,30,67
1933,C,Y,98,918
1934,C,Y,96,119
1935,B,X,87,268
1936,C,Y,90,611
1937,C,Y,63,797
1938,A,Y,6,126
1939,B,X,41,990
1940,C,Z,36,484
1941,B,Y,46,661
1942,C,Z,19,68
1943,C,X,87,192
1944,B,X,98,927
1945,A,Z,79,497
1946,C,X,98,157
1947,C,X,39,742
1948,C,Y,6,475
1949,B,X,2,725
1950,A,Y,6,36
1951,C,X,32,691
1952,C,Y,98,559
1953,C,Y,41,84
1954,B,Y,2,414
1955,B,Z,85,739
1956,B,Z,40,607
1957,B,Z,85,49
1958,A,X,14,285
1959,B,Y,44,976
1960,B,Y,84,165
1961,C,Z,26,626
1962,B,Z,57,779
1963,A,X,61,966
1964,A,X,61,660
1965,C,Z,2,131
1966,A,X,6,382
1967,B,X,6,242
1968,B,X,89,711
1969,A,Z,91,961
1970,A,Z,93,58
1971,B,Z,35,159
1972,C,Y,25,901
1973,B,Z,85,513
1974,C,Z,82,855
1975,C,Z,56,984
1976,A,Y,60,11
1977,C,X,1,903
1978,B,Z,35,959
1979,B,Z,95,993
1980,A,Z,7,324
1981,C,Z,57,549
1982,B,Y,69,738
1983,C,X,9,639
1984,B,X,20,225
1985,B,Y,68,7
1986,B,Y,33,710
1987,B,Y,68,102
1988,A,Y,62,832
1989,A,Y,27,80
1990,C,Y,20,484
1991,C,Z,77,858
1992,A,Y,1,20
1993,B,Z,86,386
1994,C,X,85,537
1995,C,X,50,631
1996,A,X,67,214
1997,C,Z,1,227
1998,A,X,18,655
1999,B,Y,33,629
2000,C,Z,49,387
2001,B,X,35,584
2002,B,X,6,102
2003,A,Y,39,280
2004,B,X,51,695
2005,A,Z,19,423
2006,A,Y,57,288
2007,C,X,83,706
2008,B,X,97,104
2009,A,Y,39,444
2010,C,Y,89,763
2011,A,Y,65,18
2012,B,Y,9,53
2013,B,Y,98,462
2014,C,X,4,799
2015,C,Z,45,868
2016,C,Y,45,314
2017,C,Z,51,855
2018,C,X,60,212
2019,B,Z,76,252
2020,C,Z,57,413
2021,C,Z,2,327
2022,C,X,42,194
2023,C,Y,27,506
2024,B,Y,89,6
2025,B,Y,60,524
2026,A,Z,23,54
2027,C,X,69,921
2028,C,X,14,347
2029,B,X,53,761
2030,B,X,83,816
2031,B,Z,62,322
2032,C,Z,43,870
2033,A,Y,90,683
2034,A,X,1,448
2035,B,X,2,161
2036,B,Z,29,524
2037,B,Y,20,915
2038,B,Y,32,640
2039,A,Y,21,537
2040,A,Y,45,133
2041,B,Y,12,904
2042,A,Y,20,545
2043,B,Z,41,400
2044,A,Z,96,2
2045,C,X,58,370
2046,C,Z,10,89
2047,A,X,80,934
2048,B,Y,34,887
2049,A,Z,21,594
2050,B,Y,9,373
2051,B,Z,70,32
2052,B,Z,80,928
2053,B,X,83,457
2054,A,Z,10,962
2055,A,Y,61,373
2056,C,Z,7,754
2057,B,Y,52,53
2058,C,X,3,257
2059,A,Z,14,670
2060,A,Z,23,825
2061,B,Z,55,898
2062,A,Z,3,154
2063,B,X,56,746
2064,C,Z,89,835
2065,B,Z,48,45
2066,A,Y,50,787
2067,A,X,93,725
2068,A,Z,42,232
2069,C,Z,42,994
2070,B,X,55,510
2071,C,Z,29,820
2072,A,X,85,846
2073,B,Y,89,288
2074,C,X,72,886
2075,B,X,14,133
2076,A,Z,59,681
2077,C,X,87,996
2078,B,Y,87,377
2079,B,X,38,120
2080,A,Y,82,884
2081,A,Z,22,611
2082,A,Y,21,383
2083,C,X,55,408
2084,C,X,67,607
2085,B,Y,78,313
2086,B,Y,48,442
2087,C,X,11,830
2088,B,X,3,4
2089,C,X,7,334
2090,B,X,80,687
2091,C,Y,70,284
2092,B,X,17,495
2093,B,Y,79,97
2094,C,Z,43,258
2095,A,X,28,4
2096,C,Y,9,99
2097,C,X,45,741
2098,A,X,70,268
2099,B,X,61,700
2100,A,X,74,104
2101,A,Y,52,471
2102,A,Z,36,402
2103,B,Y,73,157
2104,C,Y,38,680
2105,A,X,51,67
2106,B,X,5,821
2107,B,Z,69,858
2108,C,Z,62,657
2109,C,Y,46,685
2110,A,Z,47,624
2111,B,Z,53,753
2112,C,Y,57,119
2113,A,Y,76,344
2114,B,Y,21,246
2115,B,Z,9,747
2116,C,X,97,133
2117,B,X,35,845
2118,B,Z,21,456
2119,C,Y,52,536
2120,B,X,84,89
2121,B,Z,64,448
2122,A,Z,5,210
2123,B,Y,43,757
2124,C,X,46,940
2125,B,X,34,733
2126,C,Z,80,454
2127,C,Y,56,363
2128,B,Z,89,343
2129,C,Z,37,913
2130,A,Z,88,816
2131,C,Y,97,618
2132,A,Z,56,643
2133,C,Y,93,710
2134,B,Z,3,684
2135,C,Y,7,407
2136,C,X,67,754
2137,C,Z,44,276
2138,A,Z,24,725
2139,A,Z,80,551
2140,A,Z,47,339
2141,A,Z,92,650
2142,A,Z,52,88
2143,B,Z,68,836
2144,C,X,44,431
2145,C,Y,94,135
2146,B,Y,62,141
2147,B,X,3,236
2148,B,Y,87,138
2149,B,Y,65,27
2150,A,X,53,458
2151,C,Y,64,652
2152,B,Y,56,454
2153,B,Y,58,257
2154,C,Z,45,968
2155,B,Y,65,439
2156,A,Z,98,830
2157,A,Y,80,470
2158,A,Y,59,714
2159,B,X,7,413
2160,C,Z,66,81
2161,B,Z,1,47
2162,C,Z,86,309
2163,A,Z,18,981
2164,A,Y,7,636
2165,C,Z,63,809
2166,B,Z,57,886
2167,B,Y,77,607
2168,B,Y,10,527
2169,A,Y,15,553
2170,B,Y,71,981
2171,C,X,96,386
2172,B,X,66,685
2173,B,Y,95,541
2174,C,Y,53,506
2175,C,Z,97,396
2176,A,Y,25,998
2177,A,Y,76,702
2178,B,X,21,508
2179,B,X,67,707
2180,A,Z,57,290
2181,B,Z,77,636
2182,B,Y,18,537
2183,C,X,21,261
2184,B,X,97,933
2185,C,Z,66,179
2186,A,Z,66,829
2187,B,X,99,93
2188,C,Y,72,646
2189,C,X,51,990
2190,C,Z,62,435
2191,C,Y,24,600
2192,B,X,66,294
2193,A,X,50,520
2194,C,X,87,719
2195,A,X,14,97
2196,C,Z,41,867
2197,C,X,11,622
2198,C,Y,67,708
2199,A,Z,48,361
2200,A,Z,67,967
2201,A,Z,32,101
2202,B,Z,49,749
2203,A,Y,36,930
2204,B,X,28,447
2205,B,Z,90,573
2206,A,X,11,245
2207,C,X,43,390
2208,C,Y,89,645
2209,B,X,31,364
2210,C,Y,59,173
2211,C,Z,11,917
2212,B,Z,46,35
2213,A,X,4,314
2214,B,Z,7,127
2215,A,Y,58,353
2216,A,Z,10,627
2217,B,X,44,152
2218,C,Y,2,341
2219,A,Z,74,781
2220,B,Z,50,502
2221,B,X,90,89
2222,B,Z,81,143
2223,A,Y,8,463
2224,C,X,2,379
2225,C,Y,60,535
2226,B,Y,65,135
2227,A,Z,88,869
2228,C,X,48,189
2229,B,Y,47,510
2230,C,Z,27,242
2231,C,X,51,759
2232,A,X,51,373
2233,B,Y,85,813
2234,C,Z,44,853
2235,C,Y,25,620
2236,A,Y,43,649
2237,A,X,71,380
2238,C,X,85,316
2239,A,Z,48,576
2240,A,X,6,469
2241,B,Y,53,201
2242,B,Z,72,323
2243,C,Z,29,804
2244,C,Y,55,442
2245,C,X,9,462
2246,A,Z,33,234
2247,B,Z,15,333
2248,C,X,82,371
2249,B,X,29,826
2250,A,X,70,563
2251,B,X,94,279
2252,A,Y,46,133
2253,C,X,46,43
2254,A,X,20,955
2255,A,Z,79,43
2256,A,Y,46,489
2257,A,X,89,494
2258,C,Z,72,876
2259,B,Z,79,545
2260,C,Y,91,375
2261,C,Y,32,966
2262,A,Y,14,620
2263,C,X,95,137
2264,A,Y,7,705
2265,B,X,61,304
2266,A,Z,54,349
2267,B,Y,99,696
2268,C,X,3,857
2269,A,Z,38,917
2270,B,Z,2,268
2271,C,X,2,386
2272,B,Z,23,602
2273,A,Y,49,312
2274,B,Y,43,880
2275,B,Z,11,38
2276,B,X,79,929
2277,C,Z,22,306
2278,B,Y,54,76
2279,B,Y,40,326
2280,B,Y,92,401
2281,B,X,88,809
2282,A,X,63,909
2283,A,X,63,497
2284,C,X,1,984
2285,B,Z,8,236
2286,C,Z,12,602
2287,B,Y,4,681
2288,A,Y,84,235
2289,B,Y,33,834
2290,C,X,52,218
2291,B,Z,72,919
2292,A,Y,9,322
2293,C,Z,11,184
2294,B,X,86,334
2295,A,X,78,150
2296,B,Y,95,359
2297,A,X,94,125
2298,C,Y,27,164
2299,C,Z,9,315
2300,B,Z,84,609
2301,A,Y,63,144
2302,C,Y,23,631
2303,B,X,48,712
2304,B,Y,43,696
2305,B,Y,11,394
2306,A,X,27,970
2307,B,X,27,794
2308,A,Z,26,256
2309,B,Z,69,755
2310,A,X,39,732
2311,B,Z,19,694
2312,B,Z,96,985
2313,A,Z,57,739
2314,C,Z,80,430
2315,C,X,45,921
2316,C,X,91,848
2317,A,X,60,515
2318,C,Z,3,301
2319,B,Y,26,512
2320,A,Z,34,383
2321,C,Y,2,773
2322,B,X,54,392
2323,B,X,13,26
2324,A,X,66,975
2325,C,Y,76,926
2326,B,Z,2,342
2327,C,Y,68,333
2328,B,X,19,659
2329,B,X,32,503
2330,A,X,11,753
2331,C,Y,66,495
2332,B,Y,64,524
2333,C,Z,1,870
2334,C,X,13,12
2335,C,X,85,514
2336,A,Y,27,208
2337,B,Y,91,757
2338,C,X,66,913
2339,A,Y,56,412
2340,C,Z,57,718
2341,A,X,37,680
2342,C,Y,40,544
2343,C,X,52,357
2344,C,Z,55,714
2345,A,Z,17,680
2346,A,X,61,210
2347,B,Y,54,815
2348,B,X,98,585
2349,A,X,30,549
2350,B,Y,63,291
2351,A,X,85,172
2352,A,X,42,776
2353,A,Z,91,123
2354,B,Z,72,676
2355,C,Y,49,891
2356,B,Z,30,410
2357,C,Y,47,396
2358,B,Y,73,35
2359,C,Y,30,536
2360,C,X,80,104
2361,A,Z,61,445
2362,B,Y,81,402
2363,C,Y,95,690
2364,B,X,10,693
2365,A,Z,94,982
2366,A,Z,28,475
2367,C,Z,96,111
2368,A,Z,6,763
2369,B,Z,86,204
2370,A,Z,13,890
2371,A,X,81,35
2372,A,X,13,247
2373,A,X,57,131
2374,B,Z,29,74
2375,B,Z,74,368
2376,C,Z,26,421
2377,A,X,37,638
2378,C,Z,37,386
2379,C,Z,37,187
2380,B,Z,47,320
2381,A,Y,44,312
2382,A,Y,61,574
2383,B,Z,82,458
2384,B,X,25,812
2385,B,Z,88,844
2386,A,X,20,789
2387,C,Y,79,774
2388,C,Y,28,37
2389,A,Z,88,620
2390,C,Y,15,57
2391,A,Z,42,980
2392,A,Z,17,951
2393,B,X,94,712
2394,A,X,29,947
2395,B,Y,77,827
2396,B,Y,65,932
2397,C,Z,40,7
2398,B,Z,92,546
2399,C,Y,85,217
2400,A,X,84,260
2401,C,X,9,730
2402,C,Y,70,658
2403,C,Y,8,745
2404,A,Y,95,944
2405,A,Y,3,589
2406,B,Y,73,752
2407,A,Z,17,306
2408,B,Y,17,566
2409,A,Z,8,524
2410,C,Y,59,649
2411,B,Z,65,734
2412,A,Y,87,818
2413,A,Z,50,537
2414,A,X,38,669
2415,C,Z,58,289
2416,B,X,58,340
2417,B,X,78,303
2418,B,Y,43,841
2419,A,Z,72,889
2420,B,Y,58,346
2421,B,Y,6,145
2422,A,Y,38,461
2423,A,Y,44,247
2424,A,X,14,367
2425,A,X,36,164
2426,C,Z,24,895
2427,C,X,59,236
2428,B,Z,15,127
2429,C,X,42,616
2430,A,Y,64,313
2431,C,X,70,548
2432,A,Z,22,30
2433,C,Y,27,847
2434,A,Z,91,718
2435,B,Y,11,110
2436,B,Z,45,395
2437,C,Z,26,913
2438,A,Y,8,388
2439,B,Z,64,768
2440,A,Y,59,278
2441,C,X,51,543
2442,A,Z,86,668
2443,A,Y,43,616
2444,C,Z,74,651
2445,B,Y,93,312
2446,C,X,14,865
2447,A,Z,64,266
2448,C,Y,13,475
2449,C,Z,80,606
2450,A,Y,60,892
2451,C,Y,37,436
2452,B,Y,62,21
2453,B,Z,74,925
2454,C,Z,71,559
2455,A,Z,45,888
2456,C,Y,53,921
2457,C,Y,86,801
2458,B,X,40,908
2459,B,Z,23,64
2460,A,X,77,197
2461,A,X,37,524
2462,A,Z,91,540
2463,C,Z,36,169
2464,C,Y,89,782
2465,C,Z,9,767
2466,C,Y,2,59
2467,A,X,48,129
2468,A,X,24,165
2469,A,X,47,805
2470,C,Z,31,76
2471,C,Y,7,662
2472,A,Y,11,375
2473,B,X,70,461
2474,A,Z,86,734
2475,C,X,44,183
